[2021-10-23 17:14:09] [INFO ]  
[2021-10-23 17:14:09] [INFO ] FINCH               + [!] Java Finch Syntactic Engine
[2021-10-23 17:14:09] [INFO ] FINCH               |  + Java-type analysis activated
[2021-10-23 17:14:09] [INFO ]  
[2021-10-23 17:14:09] [INFO ] CHECKER_LOADER      + [C] Initialize checkers ===>>>
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.BadCompareClassNameChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.DeclareLoopVariableFinalChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.CrossSiteRequestForgeryChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.RelianceOnDnsLookupsInASecurityDecisionChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.ImplicitCastingReturnChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.OverrideHashCodeAndEqualsChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.CallingSystemGCChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.UseOnceSameVariableWithinExpressionChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.NonSynchronizedMethodOverridesSynchronizedMethodChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.UnnotifiedObjectChecker] loaded successfully
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoNotCallRunFinalizersOnExitChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.override.AbsenceSetMeasuredDimensionInOverrideOnMeasureChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.override.AbsenceCallSuperInActivityLifecycleChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.forbidden.DoNotSendSmsChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.forbidden.DoNotAccessAccountInformationChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.forbidden.DoNotGetDeviceIdChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.forbidden.DoNotGetUsimUniqueIdChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.forbidden.DoNotRecordMediaChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPhoneStateListenerOnDataActivityChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInGeocoderGetFromLocationLatitudeChecker] is not enabled by configuration
